_id,公司名称,产品名称,产品类别,设计类型,产品特殊属性,承保方式,保险期间类型,产品交费方式,产品条款文字编码,产品销售状态,停止销售日期,PDF文件
5b531445f1ad32a783dfb959,同方全球人寿保险有限公司,海康附加「易安行」意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,分期交费一次性交费兼有,海康人寿[2014]医疗保险004号,停用,2015-10-08,http://www.iachina.cn/IC/tkk/03/e416881e-7e2a-48f8-a7ae-245084a7461c_TERMS.PDF
5b531445f1ad32a783dfb95b,安邦人寿保险股份有限公司,安邦附加住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,安邦人寿[2011]医疗保险009号,在售, ,http://www.iachina.cn/IC/tkk/03/b733f1d0-059f-4466-a21b-67e4eb879a5e_TERMS.PDF
5b531445f1ad32a783dfb95c,安邦人寿保险股份有限公司,安邦附加意外住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,安邦人寿[2010]医疗保险027号,在售, ,http://www.iachina.cn/IC/tkk/03/b01a01ad-646a-408e-a84e-291ddb2bcd53_TERMS.PDF
5b531445f1ad32a783dfb95d,安邦人寿保险股份有限公司,安邦附加四季通宝意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,灵活交费,安邦人寿[2011]医疗保险007号,在售, ,http://www.iachina.cn/IC/tkk/03/899146b4-12cb-445a-96e4-a4c9d5f77c4d_TERMS.PDF
5b531445f1ad32a783dfb95e,安邦人寿保险股份有限公司,安邦附加安保1号意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,安邦人寿[2010]医疗保险060号,在售, ,http://www.iachina.cn/IC/tkk/03/66e62d52-eac4-41a6-88c1-ebe58de351d3_TERMS.PDF
5b531445f1ad32a783dfb95f,安邦人寿保险股份有限公司,安邦附加安定兴邦住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费一次性交费兼有,安邦人寿[2010]医疗保险053号,在售, ,http://www.iachina.cn/IC/tkk/03/517afd04-616b-4088-aab6-496a9fefa90b_TERMS.PDF
5b531445f1ad32a783dfb960,安邦人寿保险股份有限公司,安邦附加安康2号住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,安邦人寿[2010]医疗保险058号,在售, ,http://www.iachina.cn/IC/tkk/03/3c5e4045-6858-4135-b7b2-f6ee35e594e7_TERMS.PDF
5b531445f1ad32a783dfb961,安邦人寿保险股份有限公司,安邦附加安顺1号意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,安邦人寿[2011]医疗保险020号,在售, ,http://www.iachina.cn/IC/tkk/03/07e7e0bf-a98b-46e4-87fc-0fa84dab34ed_TERMS.PDF
5b531445f1ad32a783dfb962,安邦人寿保险股份有限公司,安邦附加安康6号住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,安邦人寿[2013]医疗保险018号,在售, ,http://www.iachina.cn/IC/tkk/03/78d3a874-2660-4201-abd7-e3ed75844e46_TERMS.PDF
5b531445f1ad32a783dfb963,北大方正人寿保险有限公司,附加每日住院补贴医疗保险B款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,分期交费,海尔纽约人寿[2009]医疗保险026号,停售,2010-07-06,http://www.iachina.cn/IC/tkk/03/073324b8-63ba-4da2-a5a6-049c664e0ee8_TERMS.PDF
5b531445f1ad32a783dfb964,安邦人寿保险股份有限公司,安邦附加公共保额团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,安邦人寿[2011]医疗保险008号,在售, ,http://www.iachina.cn/IC/tkk/03/20227227-12ca-410e-bde4-e777de1211d7_TERMS.PDF
5b531445f1ad32a783dfb965,北大方正人寿保险有限公司,团体附加住院补贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,海尔保险[2011]医疗保险056号,停用,2012-04-06,http://www.iachina.cn/IC/tkk/03/863663ee-a980-4d44-a8cd-c198ca09776d_TERMS.PDF
5b531445f1ad32a783dfb966,北大方正人寿保险有限公司,附加每日住院补贴医疗保险C款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,海尔纽约人寿[2010]医疗保险012号,停用,2011-01-18,http://www.iachina.cn/IC/tkk/03/5db87734-c7ec-45d9-9b9c-df3f52d64264_TERMS.PDF
5b531445f1ad32a783dfb967,北大方正人寿保险有限公司,附加团体住院补贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,北大方正人寿[2012]医疗保险058号,在售, ,http://www.iachina.cn/IC/tkk/03/5368b25c-3eaa-4763-bb51-9114f9e1255c_TERMS.PDF
5b531445f1ad32a783dfb968,北大方正人寿保险有限公司,附加每日住院补贴医疗保险C款,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,北大方正人寿[2012]医疗保险030号,停用,2016-07-20,http://www.iachina.cn/IC/tkk/03/12771cc5-fa44-43b0-8d53-d8889e88d8b0_TERMS.PDF
5b531445f1ad32a783dfb969,北大方正人寿保险有限公司,附加团体住院补贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,海尔保险[2012]医疗保险003号,停用,2012-05-04,http://www.iachina.cn/IC/tkk/03/d53aa24f-208a-4676-bdef-90b55cc3a42b_TERMS.PDF
5b531445f1ad32a783dfb96a,北大方正人寿保险有限公司,附加团体意外住院补贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,北大方正人寿[2012]医疗保险103号,在售, ,http://www.iachina.cn/IC/tkk/03/b4dce70f-89d1-4d1f-bc4c-c9f3f0f2c314_TERMS.PDF
5b531445f1ad32a783dfb96b,北大方正人寿保险有限公司,团体附加住院补贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,海尔纽约人寿[2010]医疗保险022号,停用,2011-01-18,http://www.iachina.cn/IC/tkk/03/f76df9da-2eee-4121-a6d5-6f3b71f97caa_TERMS.PDF
5b531445f1ad32a783dfb96c,北大方正人寿保险有限公司,附加每日住院补贴医疗保险C款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,海尔保险[2011]医疗保险027号,停用,2012-05-04,http://www.iachina.cn/IC/tkk/03/dfe7f6a2-7fea-4848-8cb1-ec2566a7b6d7_TERMS.PDF
5b531445f1ad32a783dfb96d,长城人寿保险股份有限公司,长城安康团体住院定额给付医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长城人寿【2009】医疗保险028号,在售, ,http://www.iachina.cn/IC/tkk/03/8f70e2ed-12f7-4db6-adf2-243e907c0623_TERMS.PDF
5b531445f1ad32a783dfb96e,长生人寿保险有限公司,长生附加意外伤害住院津贴医疗保险C款,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,长生人寿［2009］医疗保险033号,停售,2018-03-09,http://www.iachina.cn/IC/tkk/03/f26609e1-b8b2-4793-ae55-1583d75b30d8_TERMS.PDF
5b531445f1ad32a783dfb96f,长城人寿保险股份有限公司,长城附加乐康住院定额给付医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,一次性交费,长城人寿【2009】医疗保险027号,在售, ,http://www.iachina.cn/IC/tkk/03/03a5a034-80e0-4487-91a4-e2533ec4149d_TERMS.PDF
5b531445f1ad32a783dfb970,长生人寿保险有限公司,长生附加住院津贴医疗保险B款,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,长生人寿［2009］医疗保险036号,停售,2018-03-09,http://www.iachina.cn/IC/tkk/03/ca94799e-976b-4676-94b5-bcc364c349e2_TERMS.PDF
5b531445f1ad32a783dfb971,长城人寿保险股份有限公司,长城安康团体重大疾病住院定额给付医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长城人寿【2009】医疗保险029号,在售, ,http://www.iachina.cn/IC/tkk/03/8eac988b-0e0b-4343-89fb-fe59320a48ef_TERMS.PDF
5b531445f1ad32a783dfb972,长生人寿保险有限公司,长生附加住院津贴医疗保险C款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,一次性交费,长生人寿［2009］医疗保险039号,停用,2013-02-18,http://www.iachina.cn/IC/tkk/03/a4587230-70af-40cf-b78c-386430d26fb8_TERMS.PDF
5b531445f1ad32a783dfb973,长生人寿保险有限公司,长生附加团体意外伤害住院津贴医疗保险（E）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长生人寿［2009］医疗保险054号,停用,2013-02-01,http://www.iachina.cn/IC/tkk/03/b43f8cb2-3cb7-4c41-92a2-7387c7799f03_TERMS.PDF
5b531445f1ad32a783dfb974,长生人寿保险有限公司,长生团体住院津贴医疗保险（C）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长生人寿［2009］医疗保险059号,停用,2012-07-05,http://www.iachina.cn/IC/tkk/03/2cbb9072-68ed-4e61-b3ce-3776b5261453_TERMS.PDF
5b531445f1ad32a783dfb975,长生人寿保险有限公司,长生附加团体意外伤害住院津贴医疗保险（D）,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长生人寿［2009］医疗保险053号,停售,2017-06-19,http://www.iachina.cn/IC/tkk/03/e5d21156-5722-49d3-8421-b4cf9c707be3_TERMS.PDF
5b531445f1ad32a783dfb976,长生人寿保险有限公司,广电日生附加住院津贴医疗保险C款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,广电日生［2009］医疗保险049号,停售,2009-11-25,http://www.iachina.cn/IC/tkk/03/918fc9cf-8a7e-4eb3-b3f7-0b59e43988bd_TERMS.PDF
5b531445f1ad32a783dfb977,长生人寿保险有限公司,广电日生附加意外伤害住院津贴医疗保险B款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,广电日生［2009］医疗保险043号,停售,2009-11-25,http://www.iachina.cn/IC/tkk/03/4de424e9-e8b8-4f55-83f2-44e88eac5843_TERMS.PDF
5b531445f1ad32a783dfb978,长生人寿保险有限公司,长生附加团体女性生育津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,女性专属产品,团体,短期（一年及一年以下）,一次性交费,长生人寿［2010］医疗保险011号,在售, ,http://www.iachina.cn/IC/tkk/03/a2fae8de-29d1-4b84-ba34-4284d3ec7d2a_TERMS.PDF
5b531445f1ad32a783dfb979,长生人寿保险有限公司,广电日生团体住院津贴医疗保险（C）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,广电日生［2009］医疗保险069号,停售,2009-11-25,http://www.iachina.cn/IC/tkk/03/564c59de-58ab-40dc-be83-4748e292411f_TERMS.PDF
5b531445f1ad32a783dfb97a,长生人寿保险有限公司,广电日生附加团体意外伤害住院津贴医疗保险（B）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,广电日生［2009］医疗保险064号,停售,2009-11-25,http://www.iachina.cn/IC/tkk/03/0bedff23-59a0-44a2-8a16-6d3daaf4f478_TERMS.PDF
5b531445f1ad32a783dfb97b,长生人寿保险有限公司,广电日生附加住院津贴医疗保险B款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,广电日生［2009］医疗保险046号,停售,2009-11-25,http://www.iachina.cn/IC/tkk/03/0eb6ea0c-6ab9-4b95-9a92-cea19ae20c11_TERMS.PDF
5b531445f1ad32a783dfb97c,长生人寿保险有限公司,长生附加意外伤害住院津贴医疗保险E款,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,长生人寿［2013］医疗保险012号,停售,2017-03-31,http://www.iachina.cn/IC/tkk/03/967d7bcf-662a-46e2-b1dc-b18507a59666_TERMS.PDF
5b531445f1ad32a783dfb97d,长生人寿保险有限公司,长生附加意外伤害住院津贴医疗保险D款,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,一次性交费,长生人寿［2013］医疗保险004号,停售,2018-03-09,http://www.iachina.cn/IC/tkk/03/9cb273e3-321a-443a-a4e9-5c1c8e27c95b_TERMS.PDF
5b531445f1ad32a783dfb97e,长生人寿保险有限公司,长生附加安心宝长期意外伤害医疗保险,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,长生人寿［2012］医疗保险013号,停售,2017-03-22,http://www.iachina.cn/IC/tkk/03/6baf4336-d48f-416f-94b9-f536eef6a82d_TERMS.PDF
5b531445f1ad32a783dfb97f,长生人寿保险有限公司,长生附加团体手术津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长生人寿［2011］医疗保险010号,在售, ,http://www.iachina.cn/IC/tkk/03/9229035e-c21b-4483-b71f-d03e87931565_TERMS.PDF
5b531445f1ad32a783dfb980,长生人寿保险有限公司,长生团体住院津贴医疗保险（C）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长生人寿［2012］医疗保险004号,在售, ,http://www.iachina.cn/IC/tkk/03/27338fc6-a291-46e7-a7c7-d37e8c37be08_TERMS.PDF
5b531445f1ad32a783dfb981,长生人寿保险有限公司,广电日生附加团体意外伤害住院津贴医疗保险（C）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,广电日生［2009］医疗保险063号,停售,2009-11-25,http://www.iachina.cn/IC/tkk/03/513d3ba2-22b8-42d3-8dcf-3059aba53e65_TERMS.PDF
5b531445f1ad32a783dfb983,长生人寿保险有限公司,长生附加住院津贴医疗保险C款,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,一次性交费,长生人寿［2013］医疗保险002号,在售, ,http://www.iachina.cn/IC/tkk/03/2440d199-f6ac-4b3b-a069-31829c3531f1_TERMS.PDF
5b531445f1ad32a783dfb984,东吴人寿保险股份有限公司,东吴附加住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,一次性交费,东吴人寿[2012]医疗保险023号,在售, ,http://www.iachina.cn/IC/tkk/03/9f3b83f6-67be-478c-b9bb-29a3800fb933_TERMS.PDF
5b531445f1ad32a783dfb985,光大永明人寿保险有限公司,光大永明附加嘉瑞医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,光大永明人寿[2009]医疗保险037号,停售,2013-08-31,http://www.iachina.cn/IC/tkk/03/b67748d4-87b9-4893-9377-72808599ff41_TERMS.PDF
5b531445f1ad32a783dfb986,光大永明人寿保险有限公司,光大永明附加嘉瑞医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,光大永明人寿[2009]医疗保险038号,停售,2013-08-31,http://www.iachina.cn/IC/tkk/03/b11773a7-b0f7-44c0-bb46-15818554a107_TERMS.PDF
5b531445f1ad32a783dfb987,光大永明人寿保险有限公司,光大永明附加嘉顺意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,光大永明人寿[2009]医疗保险039号,在售, ,http://www.iachina.cn/IC/tkk/03/7a9158fa-9267-4eb0-a57d-5e77e06e58f7_TERMS.PDF
5b531445f1ad32a783dfb988,光大永明人寿保险有限公司,光大永明附加金保无忧手术住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,光大永明人寿[2009]医疗保险041号,在售, ,http://www.iachina.cn/IC/tkk/03/c9aee089-817b-4941-8924-b68da2fba41e_TERMS.PDF
5b531445f1ad32a783dfb989,长生人寿保险有限公司,长生附加团体意外伤害住院津贴医疗保险（E）,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,长生人寿［2012］医疗保险017号,在售, ,http://www.iachina.cn/IC/tkk/03/ba1faf1c-26bb-4edd-bd5f-29997332ff2f_TERMS.PDF
5b531445f1ad32a783dfb98a,东吴人寿保险股份有限公司,东吴住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,东吴人寿[2012]医疗保险007号,在售, ,http://www.iachina.cn/IC/tkk/03/3f6e1278-815a-4335-8a86-6726dcaca756_TERMS.PDF
5b531445f1ad32a783dfb98b,光大永明人寿保险有限公司,光大永明附加嘉瑞医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,光大永明人寿[2010]医疗保险013号,停售,2013-08-31,http://www.iachina.cn/IC/tkk/03/ba7f8d77-8963-4c59-acc4-fdd0ddd7bb6c_TERMS.PDF
5b531445f1ad32a783dfb98d,光大永明人寿保险有限公司,光大永明附加兴顺意外伤害住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,光大永明人寿[2013]医疗保险017号,在售, ,http://www.iachina.cn/IC/tkk/03/c4e5660c-2775-4009-b4d4-cb373e221ed9_TERMS.PDF
5b531445f1ad32a783dfb98e,光大永明人寿保险有限公司,光大永明附加嘉顺意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,光大永明人寿[2010]医疗保险014号,在售, ,http://www.iachina.cn/IC/tkk/03/4711d714-8636-417e-99fb-66d840b49a11_TERMS.PDF
5b531445f1ad32a783dfb98f,光大永明人寿保险有限公司,光大永明永宁兴顺意外住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,光大永明人寿[2011]医疗保险038号,停售,2014-01-01,http://www.iachina.cn/IC/tkk/03/9c752083-6465-410e-9bd0-82d00ca82ff0_TERMS.PDF
5b531445f1ad32a783dfb990,国华人寿保险股份有限公司,国华附加意外伤害住院津贴医疗保险,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,国华人寿[2009]医疗保险031号,停售,2017-04-27,http://www.iachina.cn/IC/tkk/03/ffde19d9-da85-4b81-9dd0-74a925f890a1_TERMS.PDF
5b531445f1ad32a783dfb991,国华人寿保险股份有限公司,国华意外伤害住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,国华人寿[2009]医疗保险044号,在售, ,http://www.iachina.cn/IC/tkk/03/e198583e-76ed-46ce-a629-79c3d215b429_TERMS.PDF
5b531445f1ad32a783dfb992,国华人寿保险股份有限公司,国华附加住院津贴医疗保险,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,一次性交费,国华人寿[2009]医疗保险023号,停售,2017-04-27,http://www.iachina.cn/IC/tkk/03/904109a8-d460-45b0-a8b1-47f244c5403b_TERMS.PDF
5b531445f1ad32a783dfb993,国华人寿保险股份有限公司,国华住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,国华人寿[2009]医疗保险040号,在售, ,http://www.iachina.cn/IC/tkk/03/80839ff0-3e34-4cab-88c7-ac5b50288aaa_TERMS.PDF
5b531445f1ad32a783dfb994,光大永明人寿保险有限公司,光大永明附加终身医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,光大永明人寿[2010]疾病保险022号,在售, ,http://www.iachina.cn/IC/tkk/03/8a5c660a-eccf-4522-bd18-49f1f9bddc9c_TERMS.PDF
5b531445f1ad32a783dfb995,光大永明人寿保险有限公司,光大永明附加定期医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,光大永明人寿[2010]医疗保险009号,在售, ,http://www.iachina.cn/IC/tkk/03/b3689b81-a813-426b-a835-ef0d10034b5d_TERMS.PDF
5b531445f1ad32a783dfb996,国华人寿保险股份有限公司,国华附加华宝安心长期住院津贴医疗保险,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,国华人寿[2011]医疗保险009号,停售,2017-04-27,http://www.iachina.cn/IC/tkk/03/cbd5dd0c-c612-4bf5-8d31-4ea8f2a60691_TERMS.PDF
5b531445f1ad32a783dfb997,工银安盛人寿保险有限公司,金盛附加团体每日住院现金收入保障医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,金盛人寿〔2012〕医疗保险010号,停用,2012-07-09,http://www.iachina.cn/IC/tkk/03/74147f01-6f86-4da6-8dd5-300cea43f255_TERMS.PDF
5b531445f1ad32a783dfb998,工银安盛人寿保险有限公司,工银安盛人寿附加团体意外伤害住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,工银安盛人寿〔2013〕医疗保险007号,在售, ,http://www.iachina.cn/IC/tkk/03/653b7617-aa74-4a98-8c69-09975ddbad01_TERMS.PDF
